websiteURL,mission,charityName,ein,rating,category,city,postalCode,streetAddress
http://www.100clubchicago.org/,"The 100 Club of Chicago provides for the families of first responders who have lost their lives in the line of duty. Our membership based organization offers several forms of financial assistance, access to resources and moral support. All sworn federal, state, county and local first responders stationed in Cook, Lake and McHenry Counties are included. Through First Response Assistance, Education Assistance and our Gold Shield Partners, we are able to provide for our families.",100 Club of Chicago,366158087,3,Human Services | Education,Chicago,60611,875 North Michigan Avenue
http://www.alplm.org/,"The Abraham Lincoln Presidential Library Foundation supports the educational and cultural programming of the Abraham Lincoln Presidential Library and Museum; fosters Lincoln scholarship through the acquisition and publication of documentary materials relating to Lincoln and his era; and promotes a greater appreciation of history through exhibits, conferences, publications, online services, and other activities designed to promote historical literacy.",Abraham Lincoln Presidential Library Foundation,364385644,2,"Arts, Culture, Humanities",Springfield,62701,500 East Madison Street
http://eatrightfoundation.org/,"The Academy of Nutrition and Dietetics Foundation (formerly the American Dietetic Association Foundation) was established in 1966 and is the only charitable organization devoted exclusively to promoting good nutrition. ANDF exists as the philanthropic arm of the American Dietetic Association (ADA). ANDF's mission is to fund the future of the dietetics profession through research and education. ANDF focuses on three initiatives: scholarships, Healthy Weight for Kids and food and nutrition research.",Academy of Nutrition and Dietetics Foundation,366150906,4,Health,Chicago,60606,120 South Riverside Plaza
http://www.actionforhealthykids.org/,"Founded in 2002, Action for Healthy Kids is a public-private partnership of more than 60 national organizations and government agencies representing education, health, fitness and nutrition. We address the epidemic of overweight, sedentary, and undernourished youth by focusing on changes in schools to improve nutrition and increase physical activity. We work to engage diverse organizations, leaders, and volunteers in actions that foster sound nutrition and good physical activity in children, youth, and schools. Action for Healthy Kids envisions a world where all kids develop the lifelong habits necessary to promote health and learning.",Action for Healthy Kids,470902020,3,Human Services,Chicago,60607,600 West Van Buren Boulevard
http://www.adlerplanetarium.org,"The Adler Planetarium - America's First Planetarium - was founded in 1930 by Chicago business leader Max Adler. <br><br>The mission of the Adler Planetarium is to inspire exploration and understanding of our Universe. We value: an engaging, user-friendly museum serving diverse audiences, excitement and curiosity about space science and space exploration, programs based on credible science and educational research, well-managed collections, adherence to results-oriented planning, a professional work environment and highly motivated, diverse staff, and long-term financial stability and the economic viability of our endeavors.",Adler Planetarium,366210902,3,"Arts, Culture, Humanities",Chicago,60605,1300 South Lake Shore Drive
http://www.administerjustice.org/,"Founded in 2000, Administer Justice is a legal aid organization serving the needs of low-income and no-income individuals. They operate as a full-time professional law office that also offers other services leading to personal empowerment built on Biblical principles. They provide client appointments and provide educational and outreach services at many community events. Administer Justice provides a wide range of services to meet both the immediate and future needs of low-income individuals facing civil legal matters. Most of their services are available at no cost; some require a one-time nominal administrative fee.",Administer Justice,364348917,3,Human and Civil Rights,Elgin,60123,1750 Grandstand Place
http://www.advanceillinois.org/,"Advance Illinois is equity-driven, student-centered, data-focused and connected to community and educators. We identify, design and advocate for policies that are tailored to the needs of students in Illinois. We approach our work by: developing high impact policies; engaging though leaders, legislators, and policy makers; building coalitions of communities and educators; and by presenting the challenges and opportunities facing Illinois' public education system through policy briefs and local storytelling to inspire the participation of education stakeholders and the public.",Advance Illinois,262052733,3,Education,Chicago,60601,303 East Wacker Drive
https://africanvisionofhope.org/,"African Vision of Hope is a Christian organization committed to bringing immediate and lasting solutions to children and families living in extreme poverty. We confront the root causes of poverty by providing opportunities to be educated, grow up healthy, develop leadership and economic skills and learn about God's love. Our faith in Jesus is central to who we are, and we follow His example in working alongside the poor and oppressed. Wherever we work, we identify ourselves as a Christian organization. We're honored to have a distinct role in building God's kingdom. That role is to demonstrate God's love and care in the world.",African Vision of Hope,710929252,3,International,Maryville,62062,Eight Professional Park Drive
http://al-furqaan.org/,"Al-Furqaan Foundation was established in 2003 with mission to deliver the message of the Qur'an to every individual in America in order to fulfill 5 rights the Quran has upon us as Muslims which are, Believe It, Recite It, Understand It, Act Upon It & Convey It. Al-Furqaan Foundation projects primarily serves USA but recently are also expanding into Canada with future plans to take The Quran distribution project to other English Speaking Countries like U.K, Australia & India InshaAllah. Al-Furqaan Foundation now is been recognized as an international da'wah organization. Al-Furqaan Foundation also works closely with many national interfaith organizations for the betterment of society. While having continuous focus on self-development and outreach, Al-Furqaan Foundation has paved its place as a leading grassroots organization in the American Muslim community.",Al-Furqaan Foundation,200310701,3,Religion,Bolingbrook,60440,519 East Briarcliff Road
http://www.agcltd.org,"Founded in 1988, All God's Children (AGC) is dedicated to the orphaned and disadvantaged children of Honduras. The ministry of AGC helped to build and create Hogar de Niños Nazareth, a refuge of care and compassion, where the children were given food, shelter, medical care, spiritual training and love. A sponsorship program was also developed to match caring donors with individual children. Presently, almost 200 children at Hogar depend on the support of this organization. Girls and young boys live together in Hogar's main facility, sharing the chores and learning important job skills such as sewing and woodworking. Boys ages 8-19 reside on a working farm, complete with crops, livestock and a carpentry and welding shop.",All God's Children,382992649,4,International,Villa Park,60181,P.O. Box 5909
http://www.greatlakes.org,"The mission of the Alliance for the Great Lakes is to: \""conserve and restore the world's largest freshwater resource using policy, education and local efforts, ensuring a healthy Great Lakes and clean water for generations of people and wildlife.",Alliance For The Great Lakes,237104524,4,Environment,Chicago,60601,150 North Michigan Avenue
http://alphausa.org,"Alpha USA is at a unique position in its history. Twenty plus years of experience running Alpha in the American context is colliding with what is seen to be a growing 'crisis' in the US Church.<br>In just two years, the percentage of Americans who qualify as \""post-Christian\"" rose by 7 percentage points, from 37% in 2013 to 44% in 2015. Across the United States, cities in every state are becoming more post-Christian.<br>Because of this, Church Leaders are now more open to trying new things. In particular, they are interested in creating environments where those outside of the church feel safe bringing questions they have about Christianity and feeling welcomed, heard and not judged. Leaders are discovering that Alpha can provide this space within their church.<br>The growing need for a tool like Alpha means it is poised for rapid expansion in the US. We see early signs that this is true as some of the largest churches in America adopt Alpha as their core church strategy.",Alpha USA,133962840,3,Religion,Naperville,60540,1635 Emerson Ln
http://alternativesyouth.org/,"Founded in 1971, Alternatives aims to facilitate personal development, strengthen family relationships and enhance the community's well being. Alternatives' programs and services use an asset-based model that focuses on enriching young people's lives by building upon individual strengths within the context of their family and community. We provide comprehensive, accessible and affordable programs that increase young people's opportunities to succeed and grow as individuals and community members",Alternatives,362720602,3,Human Services,Chicago,60640,4730 North Sheridan Road
http://www.alz.org,"Alzheimer's Association is the leading voluntary health organization in Alzheimer care, support and research. Our mission is to eliminate Alzheimer's disease through the advancement of research; to provide and enhance care and support for all affected; and to reduce the risk of dementia through the promotion of brain health. Founded in 1980, the Alzheimer's Association, today a multimillion-dollar organization, has been the catalyst and leader for a generation of advancements in Alzheimer research and care. Our organization's achievements and progress in the field have given thousands of people a better quality of life and brought hope for millions more.",Alzheimer's Association,133039601,3,Health,Chicago,60601,225 North Michigan Avenue
http://www.abta.org,"The mission of the American Brain Tumor Association is to advance the understanding and treatment of brain tumors with the goals of improving, extending and, ultimately, saving the lives of those impacted by a brain tumor diagnosis. <br>We do this through interactions and engagements with brain tumor patients and their families, collaborations with allied groups and organizations, and the funding of brain tumor research.",American Brain Tumor Association,237286648,4,Health,Chicago,60631,8550 West Bryn Mawr Avenue
http://www.assh.org/afsh/,"The American Foundation for Surgery of the Hand was founded by the Council of the American Society for Surgery of the Hand in February of 1986. The purposes for creating the Foundation were to address the rising expense of providing Continuing Medical Education (CME) and allow the Hand Society to remain committed to its mission of providing continuing education. The mission of the American Foundation for Surgery of the Hand is to advance the care of hand and upper extremity disorders by supporting education, research and outreach through the efficient collection of donations and administration of grants.",American Foundation for Surgery of the Hand,742428242,4,Health,Chicago,60607,822 West Washington Boulevard
http://www.lung.org,"The American Lung Association is the leading organization working to save lives by improving lung health and preventing lung disease, through research, education and advocacy. The work of the American Lung Association is focused on four strategic imperatives: to defeat lung cancer; to improve the air we breathe; to reduce the burden of lung disease on individuals and their families; and to eliminate tobacco use and tobacco-related diseases. The American Lung Association has many programs and initiatives to fight lung disease. Among these are: LUNG FORCE, Freedom From Smoking, Asthma Basics, Better Breathers Clubs, Lung HelpLine, Open Airways For Schools, the Healthy Air Campaign, the Airways Clinical Research Centers Network and other programs encompassing research, healthy air, tobacco control and cessation, public/professional education and lung health advocacy.","American Lung Association, National Headquarters",131632524,4,Health,Chicago,60601,55 West Wacker Drive
https://amafoundation.org/,"Founded in 1950, the AMA Foundation is the philanthropic arm of the American Medical Association. Our mission is to bring together physicians and communities to improve the nation's health.<br><br>We are proud to provide a portfolio of charitable programs with two primary areas of focus: Community Health and Medical Education & Leadership. Our named and honor funds, established by individual donors, state medical societies, and medical specialty societies, continue their legacy of having a local impact on a national level throughout our programs.<br>",American Medical Association Foundation,366080517,1,Health,Chicago,60611,330 North Wabash Avenue
http://www.avmf.org,"The American Veterinary Medical Foundation (AVMF) is the charitable arm of the AVMA. For more than 55 years, the AVMF has been dedicated to our mission of developing resources to advance the science and practice of veterinary medicine to improve animal and human health. <br><br>Charitable contributions and support to the Foundation help veterinarians help animals. The AVMF provides programs in Education, Advocacy, Research and Service. <br><br>Established by the American Veterinary Medical Association (AVMA) in 1963, AVMF's national headquarters is based in northwest suburban Chicago. The AVMA, founded in 1863, is one of the oldest and largest veterinary medical organizations in the world, with more than 94,000 current members.",American Veterinary Medical Foundation,366117739,3,Animals,Schaumburg,60173,1931 North Meacham Road
http://www.andersonanimalshelter.org/,"Anderson Animal Shelter (AAS) was incorporated in 1966 and is the largest privately funded animal welfare organization in the Fox Valley area. The mission of AAS is to improve the lives of pets and people through service, education and advocacy. Anderson Animal Shelter cares for over 4,000 homeless pets each year, with a live release rate of over 98%. A variety of other services are also offered to the public. These include: low-cost spay/neuter, dog training and humane education programming.",Anderson Animal Shelter,366164626,4,Animals,South Elgin,60177,1000 South La Fox Street
http://www.angelman.org/,"The Angelman Syndrome Foundation (ASF) works to advance the awareness and treatment of Angelman Syndrome (AS) through education and information, research, and support for individuals with Angelman Syndrome, their families and other concerned parties. ASF is a national organization dedicated to helping families, care providers and medical professionals arm themselves with as much helpful information about Angelman Syndrome as possible. AS is a neuro-genetic disorder. Characteristics of AS include: developmental delay, lack of speech, seizures, and walking and balance disorders. Individuals with AS will require life-long care. The Foundation sponsors AS research through grants to researchers pursuing promising avenues of discovery. Since 1996, ASF has funded research grants totaling over $2.5 million.",Angelman Syndrome Foundation,593092842,4,Health,Aurora,60504,75 Executive Drive
http://www.animalwelfareleague.com,"Established in 1935, the Animal Welfare League saves animals' lives and works to improve the way they are treated and regarded by society. The Animal Welfare League strives to: prevent cruelty to animals, provide quality homes for animals through our adoption programs, promote respect and compassion for all creatures through education, provide shelter and care for homeless and unwanted animals, reduce pet overpopulation through our low cost spay/neuter clinic, provide veterinary care for low income pet owners, and relieve the suffering of all animals. We work to improve municipal, city and state laws and regulations regarding the treatment of animals, and operate the state's largest non-profit animal shelter program.",Animal Welfare League,362235155,3,Animals,Chicago Ridge,60415,10305 Southwest Highway
http://www.advancingjustice-chicago.org/,"Asian Americans Advancing Justice - Chicago has a mission to empower the Asian American community through advocacy, by utilizing education, research, and coalition-building. Advancing Justice - Chicago was established in 1992 by a group of visionary Chicago community activists, academicians, and business leaders in response to the growing need to build a pan-Asian policy agenda among Chicago's diverse Asian American communities. Advancing Justice - Chicago projects a united voice on the most pressing issues of concern to Asian Americans in metropolitan Chicago. Its staff and board work closely with a broad network of established community leaders and emerging activists who have bridged ethnic and cultural differences to find solutions to shared concerns.",Asian Americans Advancing Justice - Chicago,363844385,3,Human and Civil Rights,Chicago,60640,4753 North Broadway
http://www.awana.org,"For nearly 60 years, Awana has been a leader in children's ministry, helping churches and parents worldwide raise children and youth to know, love and serve Christ. Based in the Chicago area, Awana is the only organization with fully integrated evangelism and discipleship programs for ages 2-18 that actively involve parents, church leaders and mentors. Each week, more than a million children and youth, 250,000 volunteers and 300-plus field staff take part in Awana in over 18,000 churches in the U.S. and internationally. Awana works with churches from nearly 100 different denominations. Today, more than 12,000 U.S. churches run Awana with programs in all 50 states. Awana can also be found in over 6,000 churches in 109 other countries and six continents.",Awana,362428692,3,Religion,Streamwood,60107,One East Bode Road
http://barnabasfoundation.com/,"For almost 40 years, Barnabas Foundation has been advancing God's kingdom by providing quality Planned Giving and Estate Planning services, which enable caring Christians to strengthen support for the ministries of our nearly 200 member organizations. We offer Planned Gift development and stewardship education for member organizations and churches and we help Christians make tax-wise decisions about their financial resources.",Barnabas Foundation,362904503,4,Community Development,Crete,60417,3801 Eagle Nest Drive
http://www.bearnecessities.org/,"Bear Necessities Pediatric Cancer Foundation is a national organization founded in 1992 and has been actively contributing to children stricken with cancer. Bear Necessities' mission is to eliminate pediatric cancer and to provide hope and support to those who are touched by it. The foundation has two main programs: the Bear Hugs Program is designed to brighten the lives of pediatric cancer patients by granting special requests to them and to ease the burdens of the families through assistance with some of the immediate needs that they may be facing while fighting this physically, emotionally, and financially devastating disease. Each year the Bear Discoveries program awards medical research grants nationally, primarily to junior investigative researchers who make meaningful advancements and discoveries towards finding a cure and therapies for various types of pediatric cancer.",Bear Necessities Pediatric Cancer Foundation,363874655,3,Health,Chicago,60601,55 West Wacker Drive
http://www.bettergov.org/,"The Better Government Association (BGA) works for integrity, transparency, and accountability in government by exposing corruption and inefficiency; identifying and advocating effective public policy; and engaging and mobilizing the electorate to achieve authentic and responsible reform. Our Investigative Unit looks into allegations of waste, fraud and corruption in city, county, suburban and state government, and the results are made public through partnerships with local media. The Policy Advocacy Unit builds on the results of the BGA investigations to propose policy solutions to corruption, inefficiency, lack of accountability and waste in government.",Better Government Association,360802950,4,Human and Civil Rights,Chicago,60606,223 West Jackson Boulevard
http://www.bbbschgo.org/,"Big Brothers Big Sisters of Metropolitan Chicago (BBBSMC) helps children realize their potential and build their futures. As Metro Chicago's largest donor and volunteer supported mentoring network, BBBSMC makes meaningful, monitored matches between adult volunteers (\""Bigs\"") and children (\""Littles\"") from age seven through high school graduation. Our programs nurture children and strengthen communities across Cook, Lake and DuPage counties in Illinois and Lake County, Indiana. Our mission is to create and support one-to-one mentoring relationships that ignite the power and promise of youth.",Big Brothers Big Sisters of Metropolitan Chicago,362681212,4,Human Services,Chicago,60661,560 West Lake Street
http://www.bigshouldersfund.org,"he mission of the Big Shoulders Fund is to provide support to the Catholic schools in the neediest areas of inner-city Chicago. The funds raised by Big Shoulders are used for scholarships, special education programs, instructional equipment, much needed facility improvements, faculty support, and operating grants. Serving both Catholics and non-Catholics, Big Shoulders Fund supported schools are seen as anchors in their communities and in the lives of the families they serve. It is our hope to provide the inner-city Catholic schools with the resources to prepare Chicago's young people for a productive future. The Big Shoulders Fund seeks to offer inner-city children and their parents the choice of a faith-based, value-centered education.",Big Shoulders Fund,363490557,4,Education,Chicago,60607,212 West Van Buren
http://www.blackhawkscouting.org/,"The mission of the Boy Scouts of America, Blackhawk Area Council is to positively change lives of those we serve with membership opportunities in quality programs of character and leadership development. The Boy Scouts of America is the nation's foremost youth program of character development and values-based leadership training. The Blackhawk Area Council creates the best scouting in America with trained adult and youth leaders providing quality program and membership opportunities. Scouting strengthens families and connects youth to the communities in which they live. The Council provides Scouting services to over 15,000 youth in twelve counties of northern Illinois and parts of southern Wisconsin.","Boy Scouts of America, Blackhawk Area Council",362169127,3,Human Services,Rockford,61107,2820 McFarland Road
